time_ISO8601,d18O,d18O_sd,d2H,d2H_sd,dexc,dexc_sd,H2O,H2O_sd
2017-01-21T19:00:00+00:00,-16.2297863416,0.175657467865,-122.408094748,1.43242365088,7.43019598478,2.38759269179,10269.2091269,131.766222032
2017-01-21T20:00:00+00:00,-16.1642374315,0.187510885562,-121.163768195,1.48381803629,8.15013125778,2.30507542709,10412.2084695,129.383501945
2017-01-21T21:00:00+00:00,-15.8896961329,0.20176006651,-118.385608695,1.67999803422,8.73196036789,2.32991514563,10724.6374849,155.622434561
2017-01-21T22:00:00+00:00,-15.6438172701,0.235199293324,-115.826355191,2.22503387152,9.3241829695,2.33695904975,11084.6819412,310.935992934
2017-01-21T23:00:00+00:00,-15.6334666794,0.561533836571,-113.568209501,3.87979875151,11.499523934,2.43674571455,11356.6995814,674.501875256
2017-01-22T00:00:00+00:00,-16.510802131,0.276685488621,-120.319631354,2.4017424543,11.7667856944,2.2663608552,10316.0246919,375.046088585
2017-01-22T01:00:00+00:00,-16.2023029692,0.625122452007,-116.494449166,5.08119774715,13.1239745878,2.2491908805,11093.1180762,704.561117561
2017-01-22T02:00:00+00:00,-14.6161641152,0.443909480387,-104.536952917,3.21340069739,12.3923600048,2.27224331995,12850.8305693,570.365843974
2017-01-22T03:00:00+00:00,-14.6944098614,0.264077331017,-104.678937022,2.00791013387,12.8763418694,2.19545412294,12713.2909566,377.273204913
2017-01-22T04:00:00+00:00,-14.5898727285,0.278785438486,-104.175538132,2.13945725931,12.5434436959,2.2703323219,12689.6380406,382.58847729
2017-01-22T05:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-01-22T06:00:00+00:00,-14.04781505,0.284869085409,-101.490626341,2.13631878611,10.8918940594,2.24955875174,13116.6135816,392.427155865
2017-01-22T07:00:00+00:00,-13.4549661365,0.272746733259,-97.5353591231,1.93763042676,10.104369969,2.25889893427,14008.9779059,367.91751526
2017-01-22T08:00:00+00:00,-12.6186603243,0.251877895524,-92.5548246146,1.67886869985,8.39445797989,2.24152778487,15069.5622802,290.681805937
